# object: IRC+10216
# time: Mon Jun  5 21:13:50 2017
# number of values:         1200
# wave      flux          stdev           line
      10.8443      30061.6      81.4123           7
      10.8715      30163.4      92.9574           7
      10.8987      30238.4      94.3837           7
      10.9260      30230.0      99.8779           7
      10.9533      29995.5      111.388           7
      10.9807      29768.1      113.244           7
      11.0082      29769.6      105.779           7
      11.0358      29519.8      158.545           7
      11.0634      28724.8      157.091           7
      11.0911      28755.7      156.305           7
      11.1189      29166.7      136.257           7
      11.1467      29946.4      161.897           7
      11.1746      30329.3      130.385           7
      11.2026      30583.4      114.183           7
      11.2306      30824.7      116.400           7
      11.2587      30949.7      122.254           7
      11.2869      30970.1      111.755           7
      11.3151      30939.1      127.053           7
      11.3435      31042.0      110.244           7
      11.3719      31100.2      118.894           7
      11.4003      31006.0      117.342           7
      11.4289      30885.5      117.362           7
      11.4575      30928.1      117.495           7
      11.4862      31047.2      127.002           7
      11.5149      31110.7      141.159           7
      11.5437      31055.3      140.392           7
      11.5726      30928.2      122.302           7
      11.6016      30989.2      158.074           7
      11.6306      31134.9      128.248           7
      11.6597      31091.2      149.904           7
      11.6889      31093.7      173.131           7
      11.7182      31112.0      150.217           7
      11.7475      31047.0      135.335           7
      11.7769      31084.8      128.152           7
      11.8064      31195.1      131.726           7
      11.8360      31249.9      124.084           7
      11.8656      31339.0      109.215           7
      11.8953      31482.3      112.828           7
      11.9251      31591.3      109.645           7
      11.9549      31724.2      112.817           7
      11.9602      32433.8      642.373           9
      11.9848      32000.4      135.847           7
      11.9901      32914.3      710.322           9
      12.0148      32359.2      150.999           7
      12.0201      33044.4      735.198           9
      12.0449      32784.5      313.172           7
      12.0502      31323.6      947.753           9
      12.0804      30370.8      955.436           9
      12.1106      30858.7      771.015           9
      12.1409      29856.9      1749.48           9
      12.1713      29046.5      1459.92           9
      12.2018      30519.3      981.947           9
      12.2323      31779.4      1121.06           9
      12.2629      31004.8      1291.56           9
      12.2936      29554.5      1321.22           9
      12.3244      28649.9      571.485           9
      12.3553      28167.6      428.303           9
      12.3862      28218.9      465.192           9
      12.4172      28300.7      734.563           9
      12.4483      27672.8      503.952           9
      12.4794      27150.5      473.712           9
      12.5107      26789.7      384.107           9
      12.5420      26358.8      325.398           9
      12.5734      26077.6      424.900           9
      12.6049      25881.8      370.196           9
      12.6364      25241.8      328.960           9
      12.6680      25146.1      289.078           9
      12.6997      25336.2      221.639           9
      12.7315      25367.1      259.136           9
      12.7634      25097.9      242.520           9
      12.7954      24728.7      324.404           9
      12.8274      24693.2      577.883           9
      12.8595      24612.8      575.053           9
      12.8917      24461.2      482.144           9
      12.9240      24811.7      625.250           9
      12.9563      25125.0      496.447           9
      12.9887      24607.2      515.672           9
      13.0212      23993.8      357.476           9
      13.0538      24116.2      272.639           9
      13.0865      23784.3      355.908           9
      13.1193      23451.3      340.350           9
      13.1521      23555.5      329.060           9
      13.1850      23505.7      396.579           9
      13.2180      23375.3      339.049           9
      13.2511      23392.7      216.722           9
      13.2843      23426.1      347.102           9
      13.3175      23754.1      335.767           9
      13.3509      23856.7      304.726           9
      13.3843      23855.2      375.435           9
      13.4178      23825.1      252.874           9
      13.4514      23584.8      172.429           9
      13.4851      23562.4      213.268           9
      13.5188      23496.5      208.221           9
      13.5527      22912.6      388.352           9
      13.5866      21952.4      344.290           9
      13.6206      20457.9      291.080           9
      13.6547      19502.3      214.035           9
      13.6889      18850.8      220.987           9
      13.7231      19965.5      457.942           9
      13.7575      21871.6      229.196           9
      13.7919      22377.3      133.961           9
      13.8264      22288.8      202.311           9
      13.8610      22090.2      210.560           9
      13.8957      21989.1      176.858           9
      13.9305      22246.6      204.062           9
      13.9654      22254.4      162.072           9
      14.0003      22213.7      141.988           9
      14.0354      22389.8      141.755           9
      14.0705      22416.9      231.433           9
      14.1057      22283.3      193.721           9
      14.1411      22308.5      131.762           9
      14.1765      22259.6      141.124           9
      14.2119      22324.0      185.311           9
      14.2475      22157.0      285.961           9
      14.2832      22021.3      279.577           9
      14.3189      22287.3      303.878           9
      14.3548      22099.5      178.397           9
      14.3907      22340.4      210.425           9
      14.4267      22462.3      266.337           9
      14.4628      22341.0      193.560           9
      14.4990      21979.3      277.199           9
      14.5353      21783.0      274.688           9
      14.5717      22142.4      205.311           9
      14.6082      22019.1      247.899           9
      14.6448      21964.2      212.627           9
      14.6814      21881.7      147.136           9
      14.7182      21867.9      204.198           9
      14.7550      21757.5      268.043           9
      14.7919      21510.2      166.492           9
      14.8290      21861.6      155.839           9
      14.8661      21848.0      200.278           9
      14.9033      21844.7      149.522           9
      14.9406      21765.8      126.148           9
      14.9780      21790.9      150.948           9
      15.0155      21990.9      78.6272           9
      15.0531      21894.3      122.086           9
      15.0908      21882.8      142.019           9
      15.1285      21795.9      138.071           9
      15.1664      21665.0      109.812           9
      15.2044      21555.1      71.3366           9
      15.2424      21533.7      84.6922           9
      15.2806      21441.3      68.0178           9
      15.3188      21326.3      97.3995           9
      15.3572      21230.4      101.209           9
      15.3956      21083.4      77.1108           9
      15.4341      21080.9      80.7846           9
      15.4728      21011.5      120.153           9
      15.5115      21073.0      96.8256           9
      15.5503      21092.0      65.2500           9
      15.5893      20975.4      65.7709           9
      15.6283      20884.7      76.8290           9
      15.6674      20929.0      74.2677           9
      15.7066      21022.4      100.170           9
      15.7459      21119.3      128.424           9
      15.7854      21166.4      117.574           9
      15.8249      20894.1      83.2220           9
      15.8645      21044.0      164.424           9
